id;comments
1;Arey they cousins???
1;Bb
1;.b ..
1;B
1;:smiling_face_with_heart-eyes:
1;Which filter u use please tell:pleading_face::pleading_face:
1;:red_heart:️
2;very 90s raveena tandon photoshoot aura of you:white_heart::sparkles:
2;tariniiii:loudly_crying_face::growing_heart:
2;You may even call me desperate:loudly_crying_face:🫣
2;I can just comment (flirt with you) on all your posts whether you see, reply or not:loudly_crying_face::loudly_crying_face: you are just the gorgeous one:weary_face::weary_face::loudly_crying_face::loudly_crying_face:🥹🥹:growing_heart::growing_heart:
2;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2;:linked_paperclips:️:linked_paperclips:️:linked_paperclips:️
2;Always dreamy :two_hearts:
2;Slay slayyyyyy:pinched_fingers_medium_skin_tone::sparkles::ribbon:
2;Taylor's long distance daughters- @tarini_shah & @the.rebel.kid 🫶
2;:fire:
3;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
3;:red_heart:️:red_heart:️:sparkles::sparkles:
3;She's so beautiful :loudly_crying_face::loudly_crying_face::kiss_mark:girlll cute sexy chubby I love her so much
3;:red_heart:️
3;Come back to Mumbai...we are missing you
3;Looking lovely dear :smiling_face_with_hearts::red_heart:️
3;So pretty :sparkles::sparkling_heart:
3;So pretty love :red_heart:️:red_heart:️
3;She's so prettyyy:loudly_crying_face::loudly_crying_face::red_heart:️:red_heart:️
3;just like a movie,no doubt I had fallen for you but you left me with your love and never came back again
4;:red_heart:️
4;:nazar_amulet::nazar_amulet::nazar_amulet::nazar_amulet::nazar_amulet:
4;:fire::fire::red_heart:️
4;:red_heart:️:red_heart:️:red_heart:️:red_heart:️
4;Man really, y’all make anyone famous these days
4;Cutiee:smiling_face_with_heart-eyes:
4;Hiii
4;Congratulations!
4;I think noone these articles...
5;#shahbazkhanworld:musical_note::SOON_arrow: :fire:
5;R
5;2nd slideeeee >>>>>>>>
5;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
5;Aap Pasha kaha sa aatha h
5;I hateee youuu for being in greece without me :loudly_crying_face:
5;RAnNDIi
6;:fire::fire:
6;But mereko toh bas black cheez dikh rhi h usko utaro na :face_with_tears_of_joy:
6;How bout buying a personal  beach , obviously at the age of 14 :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
6;:red_heart:️:smiling_face_with_heart-eyes:
6;Gold :pick:️
7;Meri patni @d.dewdropper_ ki maang bhardo bhai.
7;:speaking_head:️:speaking_head:️:speaking_head:️ Crescent Bay mentioned rahhhh
7;make my sis @__ sakshi0409__ your wife. we are destinguishly rich:rolling_on_the_floor_laughing: best comment ever:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:, duplicate version of me. they don't say it out loud duh. your mu. m knows
7;love this <3
7;Bhai, let's meet and make love :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:
7;New yt video kab?
7;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
8;:red_heart:️:red_heart:️
8;Short king
8;tastiest boy here
8;:red_heart:️:red_heart:️:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
8;10/10 poses
8;:smiling_face_with_heart-eyes::fire:
8;we got dev and shreya collab before gta 6
8;Dope
8;Man posted shreya dayum
9;:smiling_face_with_heart-eyes::raising_hands:
9;I am so jealous of everyone around you
9;too good to be true :smiling_face_with_heart-eyes:
9;4th picture is the cutest :smiling_face_with_hearts::brown_heart:
9;:heart_exclamation:️
9;These are some of the best pictures
9;I am writing on behalf of Teen Talk Vent, an Instagram account dedicated to providing a safe space for teenagers to express their emotions and seek support. As a teenager myself, I understand the importance of having a platform for venting. We are reaching out to request your support in promoting our cause so that every teenager can benefit from our services. We believe that your voice and influence could make a significant difference in the lives of teenagers who are navigating the complexities of adolescence. Together, we can create a supportive community where young individuals feel empowered to open up about their feelings and seek the help they need.
9;Cutuuu:smiling_face_with_heart-eyes:🥹🫶:light_skin_tone:
9;I feel the peace :dove:️:folded_hands:
9;Blessed you are bhai :smiling_face_with_heart-eyes::red_heart:️:folded_hands_light_skin_tone:
10;Pls stop i just recovered from the karma trauma :skull:
10;I just threw up in my mouth a little bit
10;27 year's old and I still Love you Music and u @itsjojosiwa  your my Favorite Artist :red_heart:️
10;I love you Jojo I've been a Fan of yours since Boomerang :red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️
10;Got it Pre-saved I've been  ur fan since you Released Boomerang :red_heart:️:red_heart:️:red_heart:️ I will support u through everything
10;Sold her soul
10;jojo please can we have a civil conversation i need to tell you so many things please jojo please
11;Pee doe activities
11;:star_and_crescent:️:red_heart:️
11;Why post the vid with no sound? God I hate you
11;HER GAME IS DISGUSTING !! You PERVERT
11;No one's talking about Tyler Cameron and how he's 31 and JoJo is 21!!!
11;
11;:smiling_face_with_heart-eyes:
12;Uff looks:smiling_face_with_heart-eyes:
12;Aap pe toh crush aa gya ji
12;Please please please marry meeeee
12;Pls see my text, heal me🥹:loudly_crying_face:
12;SIMPPPP FOR YOUU:loudly_crying_face:
12;Baar baar like krne ka man krtaaa haiiiii :red_heart:️:loudly_crying_face::grinning_cat_with_smiling_eyes:
12;Just so beautiful :two_hearts::loudly_crying_face::collision::heart_with_ribbon:
12;"The waves ""Are you a wave? Because your beauty leaves me breathless."
12;@ruchii_garg got from you:red_heart:️
13;I can't with the cute bowsss :loudly_crying_face::loudly_crying_face::ribbon::sparkles:
13;Pookie :ribbon:
13;So pretty
13;Stand up everyone the real pookie has arrived :ribbon:
13;She's such archies :ribbon:veronica:ribbon: coded omg. 🥹:ribbon:
13;:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
13;Wow so cool
13;:ribbon::loudly_crying_face::sparkles::growing_heart:
13;Pookiew
13;you look like envy from inside out:loudly_crying_face::strawberry:
14;bro u should def get your legs waxed in the next yt vdo:face_with_tears_of_joy::loudly_crying_face:
14;:face_with_tears_of_joy::face_with_tears_of_joy:
14;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️
14;High on twink energy
14;:face_with_tears_of_joy::face_with_tears_of_joy:
14;Common be honest what did you do after jelly fish stung you?
14;Susu kar lo stinger pe
14;tu toh mermaid nikla
14;and chandler :rolling_on_the_floor_laughing:
15;Tag me and @adesh_satsangi buddy, we in the background :face_with_tears_of_joy:
15;🥹🫶:light_skin_tone::nazar_amulet:
15;:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️:red_heart:️
15;Rk
15;:India::India::red_heart:️:red_heart:️
15;why u so hot
15;:India::India::India::India::India:
15;Bhaiiiii:loudly_crying_face::India::red_heart:️
16;<3333
16;@deewaytime ???
16;rodrick heffley
16;Bro u good u seem to be bleeding
16;HOW DO I TEXT U WTFF
16;Roderick's Indian version
16;:crying_face:
16;U look angrej ka dalal
16;LG QHD TV
16;Too much insecurity
17;To the hardest goodbye!
17;Too good:sparkles::sparkles::sparkles::sparkles:
17;Three girls in one frame 3/10:face_with_tears_of_joy:
17;Patrick bateman
17;Hottieee
